HMTL_DATE,INDEX,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND
1/3/2017,COMPQ  NASDAQ Composite,COMPQ,5371.0,5500,5383,BULLISH
1/4/2017,COMPQ  NASDAQ Composite,COMPQ,5389.0,5510,5429,BULLISH
1/5/2017,COMPQ  NASDAQ Composite,COMPQ,5389.0,5509,5477,BULLISH
1/6/2017,COMPQ  NASDAQ Composite,COMPQ,5413.0,5515,5487,BULLISH
1/9/2017,COMPQ  NASDAQ Composite,COMPQ,5420.0,5536,5521,BULLISH
1/10/2017,COMPQ  NASDAQ Composite,COMPQ,5425.0,5555,5531,BULLISH
1/11/2017,COMPQ  NASDAQ Composite,COMPQ,5470.0,5580,5551,BULLISH
1/12/2017,COMPQ  NASDAQ Composite,COMPQ,5447.0,5603,5563,BULLISH
1/13/2017,COMPQ  NASDAQ Composite,COMPQ,5454.0,5615,5547,BULLISH
1/17/2017,COMPQ  NASDAQ Composite,COMPQ,5462.0,5611,5574,BULLISH
1/18/2017,COMPQ  NASDAQ Composite,COMPQ,5472.0,5595,5538,BULLISH
1/19/2017,COMPQ  NASDAQ Composite,COMPQ,5475.0,5599,5555,BULLISH
1/20/2017,COMPQ  NASDAQ Composite,COMPQ,5515.0,5579,5540,BULLISH
1/23/2017,COMPQ  NASDAQ Composite,COMPQ,5495.0,5580,5555,BULLISH
1/24/2017,COMPQ  NASDAQ Composite,COMPQ,5499.0,5576,5552,BULLISH
1/25/2017,COMPQ  NASDAQ Composite,COMPQ,5523.0,5610,5600,BULLISH
1/26/2017,COMPQ  NASDAQ Composite,COMPQ,5510.0,5665,5656,BULLISH
1/27/2017,COMPQ  NASDAQ Composite,COMPQ,5519.0,5669,5655,BULLISH
1/30/2017,COMPQ  NASDAQ Composite,COMPQ,5530.0,5690,5660,BULLISH
1/31/2017,COMPQ  NASDAQ Composite,COMPQ,5536.0,5691,5613,BULLISH
2/1/2017,COMPQ  NASDAQ Composite,COMPQ,5541.0,5695,5614,BULLISH
2/2/2017,COMPQ  NASDAQ Composite,COMPQ,5538.0,5699,5642,BULLISH
2/3/2017,COMPQ  NASDAQ Composite,COMPQ,5554.0,5692,5636,BULLISH
2/6/2017,COMPQ  NASDAQ Composite,COMPQ,5590.0,5685,5666,BULLISH
2/7/2017,COMPQ  NASDAQ Composite,COMPQ,5600.0,5684,5663,BULLISH
2/8/2017,COMPQ  NASDAQ Composite,COMPQ,5603.0,5690,5674,BULLISH
2/9/2017,COMPQ  NASDAQ Composite,COMPQ,5605.0,5699,5682,BULLISH
2/10/2017,COMPQ  NASDAQ Composite,COMPQ,5605.0,5729,5715,BULLISH
2/13/2017,COMPQ  NASDAQ Composite,COMPQ,5606.0,5742,5734,BULLISH
2/14/2017,COMPQ  NASDAQ Composite,COMPQ,5625.0,5777,5763,BULLISH
2/15/2017,COMPQ  NASDAQ Composite,COMPQ,5712.0,5798,5782,BULLISH
2/16/2017,COMPQ  NASDAQ Composite,COMPQ,5723.0,5829,5819,BULLISH
2/17/2017,COMPQ  NASDAQ Composite,COMPQ,5728.0,5852,5814,BULLISH
2/21/2017,COMPQ  NASDAQ Composite,COMPQ,5755.0,5874,5838,BULLISH
2/22/2017,COMPQ  NASDAQ Composite,COMPQ,5681.0,5899,5865,BULLISH
2/23/2017,COMPQ  NASDAQ Composite,COMPQ,5799.0,5900,5860,BULLISH
2/24/2017,COMPQ  NASDAQ Composite,COMPQ,5730.0,5899,5835,BULLISH
