HMTL_DATE,INDEX,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND
1/3/2017,GOLD  Gold Spot Price,GOLD,1121.0,1159,1151,BEARISH
1/4/2017,GOLD  Gold Spot Price,GOLD,1121.0,1169,1162,BEARISH
1/5/2017,GOLD  Gold Spot Price,GOLD,1121.0,1175,1165,BEARISH
1/6/2017,GOLD  Gold Spot Price,GOLD,1120.0,1184,1181,BEARISH
1/9/2017,GOLD  Gold Spot Price,GOLD,1123.0,1187,1173,BEARISH
1/10/2017,GOLD  Gold Spot Price,GOLD,1131.0,1192,1184,BEARISH
1/11/2017,GOLD  Gold Spot Price,GOLD,1135.0,1196,1185,BEARISH
1/12/2017,GOLD  Gold Spot Price,GOLD,1143.0,1215,1196,BEARISH
1/13/2017,GOLD  Gold Spot Price,GOLD,1145.0,1210,1199,BEARISH
1/17/2017,GOLD  Gold Spot Price,GOLD,1150.0,1216,1196,BEARISH
1/18/2017,GOLD  Gold Spot Price,GOLD,1159.0,1221,1212,BEARISH
1/19/2017,GOLD  Gold Spot Price,GOLD,1161.0,1220,1212,BEARISH
1/20/2017,GOLD  Gold Spot Price,GOLD,1161.0,1219,1201,BEARISH
1/23/2017,GOLD  Gold Spot Price,GOLD,1170.0,1219,1204,BEARISH
1/24/2017,GOLD  Gold Spot Price,GOLD,1174.0,1221,1215,BEARISH
1/25/2017,GOLD  Gold Spot Price,GOLD,1177.0,1219,1210,BEARISH
1/26/2017,GOLD  Gold Spot Price,GOLD,1177.0,1215,1197,BEARISH
1/27/2017,GOLD  Gold Spot Price,GOLD,1179.0,1220,1189,BEARISH
1/30/2017,GOLD  Gold Spot Price,GOLD,1180.0,1214,1188,BEARISH
1/31/2017,GOLD  Gold Spot Price,GOLD,1180.0,1220,1196,BEARISH
2/1/2017,GOLD  Gold Spot Price,GOLD,1180.0,1222,1211,BEARISH
2/2/2017,GOLD  Gold Spot Price,GOLD,1184.0,1226,1208,BEARISH
2/3/2017,GOLD  Gold Spot Price,GOLD,1183.0,1228,1219,BEARISH
2/6/2017,GOLD  Gold Spot Price,GOLD,1182.0,1228,1220,BEARISH
2/7/2017,GOLD  Gold Spot Price,GOLD,1183.0,1236,1232,BEARISH
2/8/2017,GOLD  Gold Spot Price,GOLD,1185.0,1245,1236,BEARISH
2/9/2017,GOLD  Gold Spot Price,GOLD,1185.0,1251,1239,NEUTRAL
2/10/2017,GOLD  Gold Spot Price,GOLD,1195.0,1251,1236,NEUTRAL
2/13/2017,GOLD  Gold Spot Price,GOLD,1201.0,1250,1235,NEUTRAL
2/14/2017,GOLD  Gold Spot Price,GOLD,1206.0,1249,1225,NEUTRAL
2/15/2017,GOLD  Gold Spot Price,GOLD,1210.0,1245,1225,NEUTRAL
2/16/2017,GOLD  Gold Spot Price,GOLD,1215.0,1246,1233,NEUTRAL
2/17/2017,GOLD  Gold Spot Price,GOLD,1215.0,1249,1241,NEUTRAL
2/21/2017,GOLD  Gold Spot Price,GOLD,1217.0,1246,1239,NEUTRAL
2/22/2017,GOLD  Gold Spot Price,GOLD,1217.0,1247,1238,NEUTRAL
2/23/2017,GOLD  Gold Spot Price,GOLD,1217.0,1248,1233,NEUTRAL
2/24/2017,GOLD  Gold Spot Price,GOLD,1221.0,1256,1251,NEUTRAL
2/27/2017,GOLD  Gold Spot Price,GOLD,1220.0,1260,1258,NEUTRAL
2/28/2017,GOLD  Gold Spot Price,GOLD,1220.0,1260,1258,NEUTRAL
3/1/2017,GOLD  Gold Spot Price,GOLD,1222.0,1265,1253,NEUTRAL
3/2/2017,GOLD  Gold Spot Price,GOLD,1224.0,1265,1253,NEUTRAL
3/3/2017,GOLD  Gold Spot Price,GOLD,1220.0,1249,1232,NEUTRAL
3/6/2017,GOLD  Gold Spot Price,GOLD,1221.0,1245,1226,NEUTRAL
3/7/2017,GOLD  Gold Spot Price,GOLD,1217.0,1245,1225,BEARISH
3/8/2017,GOLD  Gold Spot Price,GOLD,1208.0,1241,1216,BEARISH
3/9/2017,GOLD  Gold Spot Price,GOLD,1200.0,1237,1209,BEARISH
3/10/2017,GOLD  Gold Spot Price,GOLD,1183.0,1231,1203,BEARISH
3/13/2017,GOLD  Gold Spot Price,GOLD,1187.0,1224,1201,BEARISH
3/14/2017,GOLD  Gold Spot Price,GOLD,1186.0,1222,1203,BEARISH
3/15/2017,GOLD  Gold Spot Price,GOLD,1189.0,1221,1202,BEARISH
3/16/2017,GOLD  Gold Spot Price,GOLD,1189.0,1229,1200,BEARISH
3/17/2017,GOLD  Gold Spot Price,GOLD,1190.0,1231,1227,BEARISH
3/20/2017,GOLD  Gold Spot Price,GOLD,1192.0,1235,1230,BEARISH
3/21/2017,GOLD  Gold Spot Price,GOLD,1190.0,1239,1234,BEARISH
3/22/2017,GOLD  Gold Spot Price,GOLD,1190.0,1251,1246,BEARISH
3/23/2017,GOLD  Gold Spot Price,GOLD,1189.0,1258,1249,BEARISH
3/24/2017,GOLD  Gold Spot Price,GOLD,1190.0,1259,1247,BEARISH
3/27/2017,GOLD  Gold Spot Price,GOLD,1202.0,1265,1248,BEARISH
3/28/2017,GOLD  Gold Spot Price,GOLD,1214.0,1265,1255,BEARISH
3/29/2017,GOLD  Gold Spot Price,GOLD,1220.0,1266,1258,BEARISH
3/30/2017,GOLD  Gold Spot Price,GOLD,1222.0,1267,1256,BEARISH
3/31/2017,GOLD  Gold Spot Price,GOLD,1226.0,1264,1248,BEARISH
4/3/2017,GOLD  Gold Spot Price,GOLD,1226.0,1260,1251,NEUTRAL
4/4/2017,GOLD  Gold Spot Price,GOLD,1226.0,1263,1254,NEUTRAL
4/5/2017,GOLD  Gold Spot Price,GOLD,1239.0,1263,1258,NEUTRAL
4/6/2017,GOLD  Gold Spot Price,GOLD,1239.0,1262,1248,NEUTRAL
4/7/2017,GOLD  Gold Spot Price,GOLD,1240.0,1269,1253,NEUTRAL
4/10/2017,GOLD  Gold Spot Price,GOLD,1240.0,1263,1257,NEUTRAL
4/11/2017,GOLD  Gold Spot Price,GOLD,1241.0,1263,1253,NEUTRAL
4/12/2017,GOLD  Gold Spot Price,GOLD,1241.0,1277,1274,NEUTRAL
4/13/2017,GOLD  Gold Spot Price,GOLD,1242.0,1289,1278,NEUTRAL
4/17/2017,GOLD  Gold Spot Price,GOLD,1250.0,1295,1288,BULLISH
4/18/2017,GOLD  Gold Spot Price,GOLD,1253.0,1298,1291,BULLISH
4/19/2017,GOLD  Gold Spot Price,GOLD,1256.0,1306,1294,BULLISH
4/20/2017,GOLD  Gold Spot Price,GOLD,1245.0,1306,1283,BULLISH
4/21/2017,GOLD  Gold Spot Price,GOLD,1252.0,1306,1283,BULLISH
4/24/2017,GOLD  Gold Spot Price,GOLD,1258.0,1306,1289,BULLISH
4/25/2017,GOLD  Gold Spot Price,GOLD,1263.0,1298,1277,BULLISH
4/26/2017,GOLD  Gold Spot Price,GOLD,1261.0,1298,1267,BULLISH
4/27/2017,GOLD  Gold Spot Price,GOLD,1260.0,1300,1264,BULLISH
4/28/2017,GOLD  Gold Spot Price,GOLD,1259.0,1300,1265,BULLISH
5/1/2017,GOLD  Gold Spot Price,GOLD,1255.0,1300,1268,BULLISH
5/2/2017,GOLD  Gold Spot Price,GOLD,1250.0,1295,1255,BULLISH
5/3/2017,GOLD  Gold Spot Price,GOLD,1244.0,1293,1257,BULLISH
5/4/2017,GOLD  Gold Spot Price,GOLD,1235.0,1290,1248,BULLISH
5/5/2017,GOLD  Gold Spot Price,GOLD,1220.0,1260,1228,NEUTRAL
5/8/2017,GOLD  Gold Spot Price,GOLD,1220.0,1253,1226,NEUTRAL
5/9/2017,GOLD  Gold Spot Price,GOLD,1215.0,1255,1227,BEARISH
5/10/2017,GOLD  Gold Spot Price,GOLD,1206.0,1243,1216,BEARISH
5/11/2017,GOLD  Gold Spot Price,GOLD,1202.0,1239,1218,BEARISH
5/12/2017,GOLD  Gold Spot Price,GOLD,1200.0,1239,1224,BEARISH
5/15/2017,GOLD  Gold Spot Price,GOLD,1204.0,1246,1227,BEARISH
5/16/2017,GOLD  Gold Spot Price,GOLD,1209.0,1245,1230,BEARISH
5/17/2017,GOLD  Gold Spot Price,GOLD,1213.0,1249,1236,BEARISH
5/18/2017,GOLD  Gold Spot Price,GOLD,1206.0,1262,1258,NEUTRAL
5/19/2017,GOLD  Gold Spot Price,GOLD,1205.0,1262,1252,NEUTRAL
5/22/2017,GOLD  Gold Spot Price,GOLD,1206.0,1266,1253,NEUTRAL
5/23/2017,GOLD  Gold Spot Price,GOLD,1210.0,1270,1261,NEUTRAL
5/24/2017,GOLD  Gold Spot Price,GOLD,1215.0,1272,1255,NEUTRAL
5/25/2017,GOLD  Gold Spot Price,GOLD,1220.0,1272,1253,NEUTRAL
5/30/2017,GOLD  Gold Spot Price,GOLD,1235.0,1272,1268,NEUTRAL
5/31/2017,GOLD  Gold Spot Price,GOLD,1244.0,1270,1266,NEUTRAL
6/1/2017,GOLD  Gold Spot Price,GOLD,1245.0,1275,1275,NEUTRAL
6/2/2017,GOLD  Gold Spot Price,GOLD,1247.0,1275,1270,NEUTRAL
6/5/2017,GOLD  Gold Spot Price,GOLD,1256.0,1284,1280,NEUTRAL
6/6/2017,GOLD  Gold Spot Price,GOLD,1255.0,1284,1282,NEUTRAL
6/7/2017,GOLD  Gold Spot Price,GOLD,1261.0,1298,1297,BULLISH
6/8/2017,GOLD  Gold Spot Price,GOLD,1264.0,1302,1293,BULLISH
6/9/2017,GOLD  Gold Spot Price,GOLD,1258.0,1302,1279,BULLISH
6/12/2017,GOLD  Gold Spot Price,GOLD,1260.0,1300,1271,BULLISH
6/13/2017,GOLD  Gold Spot Price,GOLD,1252.0,1298,1268,BULLISH
6/14/2017,GOLD  Gold Spot Price,GOLD,1252.0,1300,1268,BULLISH
6/15/2017,GOLD  Gold Spot Price,GOLD,1252.0,1299,1275,BULLISH
6/16/2017,GOLD  Gold Spot Price,GOLD,1249.0,1298,1254,BULLISH
6/19/2017,GOLD  Gold Spot Price,GOLD,1245.0,1295,1256,BULLISH
6/20/2017,GOLD  Gold Spot Price,GOLD,1244.0,1292,1256,BULLISH
6/21/2017,GOLD  Gold Spot Price,GOLD,1239.0,1289,1243,BULLISH
6/22/2017,GOLD  Gold Spot Price,GOLD,1240.0,1284,1245,BULLISH
6/23/2017,GOLD  Gold Spot Price,GOLD,1235.0,1280,1249,BULLISH
6/26/2017,GOLD  Gold Spot Price,GOLD,1235.0,1279,1256,BULLISH
6/27/2017,GOLD  Gold Spot Price,GOLD,1235.0,1275,1246,BULLISH
6/28/2017,GOLD  Gold Spot Price,GOLD,1239.0,1268,1246,BULLISH
6/29/2017,GOLD  Gold Spot Price,GOLD,1239.0,1267,1249,BULLISH
6/30/2017,GOLD  Gold Spot Price,GOLD,1238.0,1266,1245,BULLISH
7/3/2017,GOLD  Gold Spot Price,GOLD,1233.0,1266,1242,BULLISH
7/5/2017,GOLD  Gold Spot Price,GOLD,1216.0,1265,1219,BULLISH
7/6/2017,GOLD  Gold Spot Price,GOLD,1216.0,1265,1221,BULLISH
7/10/2017,GOLD  Gold Spot Price,GOLD,1204.0,1249,1209,NEUTRAL
7/12/2017,GOLD  Gold Spot Price,GOLD,1200.0,1255,1214,NEUTRAL
7/13/2017,GOLD  Gold Spot Price,GOLD,1203.0,1256,1219,NEUTRAL
7/14/2017,GOLD  Gold Spot Price,GOLD,1201.0,1245,1217,NEUTRAL
7/17/2017,GOLD  Gold Spot Price,GOLD,1207.0,1244,1227,NEUTRAL
7/18/2017,GOLD  Gold Spot Price,GOLD,1205.0,1244,1233,NEUTRAL
7/19/2017,GOLD  Gold Spot Price,GOLD,1220.0,1245,1241,NEUTRAL
7/20/2017,GOLD  Gold Spot Price,GOLD,1222.0,1248,1242,NEUTRAL
7/21/2017,GOLD  Gold Spot Price,GOLD,1225.0,1253,1245,NEUTRAL
7/24/2017,GOLD  Gold Spot Price,GOLD,1230.0,1260,1254,NEUTRAL
7/25/2017,GOLD  Gold Spot Price,GOLD,1212.0,1264,1254,NEUTRAL
7/26/2017,GOLD  Gold Spot Price,GOLD,1214.0,1265,1252,NEUTRAL
7/27/2017,GOLD  Gold Spot Price,GOLD,1225.0,1265,1249,NEUTRAL
7/28/2017,GOLD  Gold Spot Price,GOLD,1231.0,1264,1260,NEUTRAL
7/31/2017,GOLD  Gold Spot Price,GOLD,1235.0,1279,1275,BULLISH
8/1/2017,GOLD  Gold Spot Price,GOLD,1235.0,1280,1273,BULLISH
8/2/2017,GOLD  Gold Spot Price,GOLD,1239.0,1284,1279,BULLISH
8/3/2017,GOLD  Gold Spot Price,GOLD,1241.0,1287,1278,BULLISH
8/7/2017,GOLD  Gold Spot Price,GOLD,1245.0,1289,1264,BULLISH
8/8/2017,GOLD  Gold Spot Price,GOLD,1248.0,1288,1264,BULLISH
8/9/2017,GOLD  Gold Spot Price,GOLD,1248.0,1288,1262,BULLISH
8/10/2017,GOLD  Gold Spot Price,GOLD,1255.0,1286,1279,BULLISH
8/11/2017,GOLD  Gold Spot Price,GOLD,1258.0,1292,1290,BULLISH
8/14/2017,GOLD  Gold Spot Price,GOLD,1260.0,1297,1294,BULLISH
8/15/2017,GOLD  Gold Spot Price,GOLD,1255.0,1298,1290,BULLISH
8/16/2017,GOLD  Gold Spot Price,GOLD,1255.0,1301,1279,BULLISH
8/17/2017,GOLD  Gold Spot Price,GOLD,1266.0,1302,1282,BULLISH
8/18/2017,GOLD  Gold Spot Price,GOLD,1260.0,1304,1292,BULLISH
8/21/2017,GOLD  Gold Spot Price,GOLD,1265.0,1305,1291,BULLISH
8/22/2017,GOLD  Gold Spot Price,GOLD,1265.0,1305,1296,BULLISH
8/23/2017,GOLD  Gold Spot Price,GOLD,1270.0,1302,1291,BULLISH
8/24/2017,GOLD  Gold Spot Price,GOLD,1272.0,1304,1294,BULLISH
8/25/2017,GOLD  Gold Spot Price,GOLD,1276.0,1302,1292,BULLISH
8/28/2017,GOLD  Gold Spot Price,GOLD,1280.0,1305,1297,BULLISH
8/29/2017,GOLD  Gold Spot Price,GOLD,1281.0,1329,1315,BULLISH
8/30/2017,GOLD  Gold Spot Price,GOLD,1283.0,1321,1318,BULLISH
8/31/2017,GOLD  Gold Spot Price,GOLD,1281.0,1323,1314,BULLISH
9/1/2017,GOLD  Gold Spot Price,GOLD,1288.0,1329,1322,BULLISH
9/5/2017,GOLD  Gold Spot Price,GOLD,1290.0,1337,1330,BULLISH
9/6/2017,GOLD  Gold Spot Price,GOLD,1304.0,1347,1344,BULLISH
9/7/2017,GOLD  Gold Spot Price,GOLD,1305.0,1353,1339,BULLISH
9/8/2017,GOLD  Gold Spot Price,GOLD,1305.0,1359,1350,BULLISH
9/11/2017,GOLD  Gold Spot Price,GOLD,1306.0,1360,1351,BULLISH
9/12/2017,GOLD  Gold Spot Price,GOLD,1307.0,1360,1335,BULLISH
9/13/2017,GOLD  Gold Spot Price,GOLD,1309.0,1359,1332,BULLISH
9/14/2017,GOLD  Gold Spot Price,GOLD,1315.0,1357,1328,BULLISH
9/15/2017,GOLD  Gold Spot Price,GOLD,1320.0,1355,1329,BULLISH
9/18/2017,GOLD  Gold Spot Price,GOLD,1310.0,1354,1325,BULLISH
9/19/2017,GOLD  Gold Spot Price,GOLD,1306.0,1357,1310,BULLISH
9/20/2017,GOLD  Gold Spot Price,GOLD,1303.0,1356,1310,BULLISH
9/21/2017,GOLD  Gold Spot Price,GOLD,1284.0,1328,1316,NEUTRAL
9/22/2017,GOLD  Gold Spot Price,GOLD,1290.0,1320,1294,NEUTRAL
9/25/2017,GOLD  Gold Spot Price,GOLD,1284.0,1316,1297,NEUTRAL
9/26/2017,GOLD  Gold Spot Price,GOLD,1285.0,1320,1311,NEUTRAL
9/27/2017,GOLD  Gold Spot Price,GOLD,1283.0,1310,1301,NEUTRAL
9/28/2017,GOLD  Gold Spot Price,GOLD,1281.0,1325,1287,NEUTRAL
9/29/2017,GOLD  Gold Spot Price,GOLD,1280.0,1321,1288,NEUTRAL
10/2/2017,GOLD  Gold Spot Price,GOLD,1267.0,1305,1284,BEARISH
10/3/2017,GOLD  Gold Spot Price,GOLD,1261.0,1303,1275,BEARISH
10/4/2017,GOLD  Gold Spot Price,GOLD,1261.0,1301,1274,BEARISH
10/5/2017,GOLD  Gold Spot Price,GOLD,1262.0,1299,1276,BEARISH
10/6/2017,GOLD  Gold Spot Price,GOLD,1259.0,1297,1273,BEARISH
10/9/2017,GOLD  Gold Spot Price,GOLD,1262.0,1298,1274,BEARISH
10/10/2017,GOLD  Gold Spot Price,GOLD,1262.0,1296,1274,BEARISH
10/11/2017,GOLD  Gold Spot Price,GOLD,1262.0,1296,1289,NEUTRAL
10/12/2017,GOLD  Gold Spot Price,GOLD,1265.0,1298,1288,NEUTRAL
10/13/2017,GOLD  Gold Spot Price,GOLD,1265.0,1299,1296,BEARISH
10/16/2017,GOLD  Gold Spot Price,GOLD,1263.0,1307,1304,BEARISH
10/17/2017,GOLD  Gold Spot Price,GOLD,1264.0,1309,1303,BEARISH
10/18/2017,GOLD  Gold Spot Price,GOLD,1265.0,1309,1286,BEARISH
10/19/2017,GOLD  Gold Spot Price,GOLD,1264.0,1310,1283,BEARISH
10/20/2017,GOLD  Gold Spot Price,GOLD,1265.0,1310,1290,BEARISH
10/23/2017,GOLD  Gold Spot Price,GOLD,1265.0,1305,1280,BEARISH
10/24/2017,GOLD  Gold Spot Price,GOLD,1270.0,1305,1280,BEARISH
10/25/2017,GOLD  Gold Spot Price,GOLD,1266.0,1291,1278,BEARISH
10/26/2017,GOLD  Gold Spot Price,GOLD,1266.0,1291,1279,BEARISH
10/27/2017,GOLD  Gold Spot Price,GOLD,1262.0,1289,1269,BEARISH
10/30/2017,GOLD  Gold Spot Price,GOLD,1266.0,1292,1271,BEARISH
10/31/2017,GOLD  Gold Spot Price,GOLD,1266.0,1291,1277,BEARISH
11/1/2017,GOLD  Gold Spot Price,GOLD,1265.0,1290,1270,BEARISH
11/2/2017,GOLD  Gold Spot Price,GOLD,1265.0,1289,1277,BEARISH
11/3/2017,GOLD  Gold Spot Price,GOLD,1265.0,1290,1278,BEARISH
11/6/2017,GOLD  Gold Spot Price,GOLD,1260.0,1284,1269,BEARISH
11/7/2017,GOLD  Gold Spot Price,GOLD,1260.0,1284,1281,BEARISH
11/8/2017,GOLD  Gold Spot Price,GOLD,1260.0,1284,1275,BEARISH
11/9/2017,GOLD  Gold Spot Price,GOLD,1260.0,1290,1283,BEARISH
11/10/2017,GOLD  Gold Spot Price,GOLD,1265.0,1290,1287,BEARISH
11/13/2017,GOLD  Gold Spot Price,GOLD,1265.0,1289,1274,BEARISH
11/14/2017,GOLD  Gold Spot Price,GOLD,1266.0,1288,1278,BEARISH
11/15/2017,GOLD  Gold Spot Price,GOLD,1267.0,1291,1282,BEARISH
11/16/2017,GOLD  Gold Spot Price,GOLD,1265.0,1290,1277,BEARISH
11/17/2017,GOLD  Gold Spot Price,GOLD,1265.0,1290,1278,BEARISH
11/20/2017,GOLD  Gold Spot Price,GOLD,1269.0,1297,1296,BEARISH
11/21/2017,GOLD  Gold Spot Price,GOLD,1266.0,1294,1275,BEARISH
11/22/2017,GOLD  Gold Spot Price,GOLD,1265.0,1290,1281,BEARISH
11/24/2017,GOLD  Gold Spot Price,GOLD,1265.0,1297,1292,BEARISH
11/27/2017,GOLD  Gold Spot Price,GOLD,1267.0,1299,1287,BEARISH
11/28/2017,GOLD  Gold Spot Price,GOLD,1269.0,1299,1294,BEARISH
11/29/2017,GOLD  Gold Spot Price,GOLD,1270.0,1305,1299,BEARISH
11/30/2017,GOLD  Gold Spot Price,GOLD,1270.0,1300,1286,BEARISH
12/1/2017,GOLD  Gold Spot Price,GOLD,1270.0,1300,1276,BEARISH
12/4/2017,GOLD  Gold Spot Price,GOLD,1265.0,1300,1282,BEARISH
12/5/2017,GOLD  Gold Spot Price,GOLD,1268.0,1299,1277,BEARISH
12/6/2017,GOLD  Gold Spot Price,GOLD,1261.0,1285,1264,BEARISH
12/7/2017,GOLD  Gold Spot Price,GOLD,1249.0,1282,1266,BEARISH
12/11/2017,GOLD  Gold Spot Price,GOLD,1241.0,1273,1248,BEARISH
12/12/2017,GOLD  Gold Spot Price,GOLD,1237.0,1267,1246,BEARISH
12/13/2017,GOLD  Gold Spot Price,GOLD,1231.0,1261,1241,BEARISH
12/14/2017,GOLD  Gold Spot Price,GOLD,1230.0,1270,1248,BEARISH
12/15/2017,GOLD  Gold Spot Price,GOLD,1230.0,1271,1257,BEARISH
12/18/2017,GOLD  Gold Spot Price,GOLD,1239.0,1268,1257,BEARISH
12/19/2017,GOLD  Gold Spot Price,GOLD,1237.0,1271,1265,BEARISH
12/20/2017,GOLD  Gold Spot Price,GOLD,1238.0,1274,1264,BEARISH
12/21/2017,GOLD  Gold Spot Price,GOLD,1238.0,1273,1269,BEARISH
12/22/2017,GOLD  Gold Spot Price,GOLD,1237.0,1276,1270,BEARISH
12/26/2017,GOLD  Gold Spot Price,GOLD,1240.0,1285,1278,BEARISH
12/27/2017,GOLD  Gold Spot Price,GOLD,1241.0,1289,1287,BEARISH
12/28/2017,GOLD  Gold Spot Price,GOLD,1249.0,1295,1291,BEARISH
12/29/2017,GOLD  Gold Spot Price,GOLD,1249.0,1303,1297,BEARISH
1/2/2018,GOLD  Gold Spot Price,GOLD,1255.0,1315,1309,BULLISH
