HMTL_DATE,INDEX,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND
1/3/2017,RUT  Russell2000,RUT,1347.0,1387,1375,BULLISH
1/4/2017,RUT  Russell2000,RUT,1350.0,1385,1365,BULLISH
1/5/2017,RUT  Russell2000,RUT,1351.0,1390,1387,BULLISH
1/6/2017,RUT  Russell2000,RUT,1350.0,1387,1371,BULLISH
1/9/2017,RUT  Russell2000,RUT,1352.0,1387,1367,BULLISH
1/10/2017,RUT  Russell2000,RUT,1347.0,1387,1357,BULLISH
1/11/2017,RUT  Russell2000,RUT,1345.0,1385,1370,BULLISH
1/12/2017,RUT  Russell2000,RUT,1350.0,1388,1373,BULLISH
1/13/2017,RUT  Russell2000,RUT,1349.0,1388,1361,BULLISH
1/17/2017,RUT  Russell2000,RUT,1350.0,1387,1372,BULLISH
1/18/2017,RUT  Russell2000,RUT,1345.0,1388,1352,BULLISH
1/19/2017,RUT  Russell2000,RUT,1349.0,1380,1358,BULLISH
1/20/2017,RUT  Russell2000,RUT,1340.0,1380,1345,BULLISH
1/23/2017,RUT  Russell2000,RUT,1340.0,1375,1351,BULLISH
1/24/2017,RUT  Russell2000,RUT,1339.0,1380,1347,BULLISH
1/25/2017,RUT  Russell2000,RUT,1340.0,1380,1369,BULLISH
1/26/2017,RUT  Russell2000,RUT,1355.0,1391,1382,BULLISH
1/27/2017,RUT  Russell2000,RUT,1340.0,1388,1375,BULLISH
1/30/2017,RUT  Russell2000,RUT,1340.0,1388,1370,BULLISH
1/31/2017,RUT  Russell2000,RUT,1335.0,1388,1352,BULLISH
2/1/2017,RUT  Russell2000,RUT,1338.0,1388,1361,BULLISH
2/2/2017,RUT  Russell2000,RUT,1340.0,1388,1361,BULLISH
2/3/2017,RUT  Russell2000,RUT,1343.0,1388,1357,BULLISH
2/6/2017,RUT  Russell2000,RUT,1346.0,1388,1377,BULLISH
2/7/2017,RUT  Russell2000,RUT,1344.0,1388,1366,BULLISH
2/8/2017,RUT  Russell2000,RUT,1350.0,1385,1361,BULLISH
2/9/2017,RUT  Russell2000,RUT,1346.0,1380,1358,BULLISH
2/10/2017,RUT  Russell2000,RUT,1347.0,1388,1378,BULLISH
2/13/2017,RUT  Russell2000,RUT,1365.0,1395,1388,BULLISH
2/14/2017,RUT  Russell2000,RUT,1366.0,1399,1392,BULLISH
2/15/2017,RUT  Russell2000,RUT,1369.0,1404,1396,BULLISH
2/16/2017,RUT  Russell2000,RUT,1375.0,1415,1404,BULLISH
2/17/2017,RUT  Russell2000,RUT,1380.0,1416,1399,BULLISH
2/21/2017,RUT  Russell2000,RUT,1375.0,1419,1399,BULLISH
2/22/2017,RUT  Russell2000,RUT,1380.0,1422,1410,BULLISH
2/23/2017,RUT  Russell2000,RUT,1380.0,1414,1403,BULLISH
2/24/2017,RUT  Russell2000,RUT,1385.0,1412,1394,BULLISH
2/27/2017,RUT  Russell2000,RUT,1385.0,1410,1394,BULLISH
2/28/2017,RUT  Russell2000,RUT,1390.0,1413,1407,BULLISH
3/1/2017,RUT  Russell2000,RUT,1382.0,1415,1386,BULLISH
3/2/2017,RUT  Russell2000,RUT,1386.0,1426,1413,BULLISH
3/3/2017,RUT  Russell2000,RUT,1385.0,1413,1395,BULLISH
3/6/2017,RUT  Russell2000,RUT,1382.0,1418,1394,BULLISH
3/7/2017,RUT  Russell2000,RUT,1378.0,1414,1384,BULLISH
3/8/2017,RUT  Russell2000,RUT,1369.0,1413,1374,BULLISH
