HMTL_DATE,INDEX,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND
1/3/2017,SPX  S&P 500,SPX,2235.0,2277,2238,BULLISH
1/4/2017,SPX  S&P 500,SPX,2237.0,2279,2257,BULLISH
1/5/2017,SPX  S&P 500,SPX,2240.0,2279,2270,BULLISH
1/6/2017,SPX  S&P 500,SPX,2241.0,2279,2269,BULLISH
1/9/2017,SPX  S&P 500,SPX,2242.0,2285,2276,BULLISH
1/10/2017,SPX  S&P 500,SPX,2238.0,2286,2268,BULLISH
1/11/2017,SPX  S&P 500,SPX,2247.0,2286,2268,BULLISH
1/12/2017,SPX  S&P 500,SPX,2249.0,2288,2275,BULLISH
1/13/2017,SPX  S&P 500,SPX,2243.0,2288,2270,BULLISH
1/17/2017,SPX  S&P 500,SPX,2258.0,2282,2274,BULLISH
1/18/2017,SPX  S&P 500,SPX,2253.0,2280,2267,BULLISH
1/19/2017,SPX  S&P 500,SPX,2255.0,2280,2271,BULLISH
1/20/2017,SPX  S&P 500,SPX,2256.0,2280,2263,BULLISH
1/23/2017,SPX  S&P 500,SPX,2257.0,2280,2271,BULLISH
1/24/2017,SPX  S&P 500,SPX,2257.0,2279,2265,BULLISH
1/25/2017,SPX  S&P 500,SPX,2259.0,2287,2280,BULLISH
1/26/2017,SPX  S&P 500,SPX,2260.0,2303,2298,BULLISH
1/27/2017,SPX  S&P 500,SPX,2265.0,2303,2296,BULLISH
1/30/2017,SPX  S&P 500,SPX,2266.0,2306,2294,BULLISH
1/31/2017,SPX  S&P 500,SPX,2267.0,2306,2280,BULLISH
2/1/2017,SPX  S&P 500,SPX,2268.0,2306,2278,BULLISH
2/2/2017,SPX  S&P 500,SPX,2269.0,2305,2279,BULLISH
2/3/2017,SPX  S&P 500,SPX,2264.0,2306,2280,BULLISH
2/6/2017,SPX  S&P 500,SPX,2270.0,2306,2297,BULLISH
2/7/2017,SPX  S&P 500,SPX,2273.0,2306,2292,BULLISH
2/8/2017,SPX  S&P 500,SPX,2275.0,2304,2293,BULLISH
2/9/2017,SPX  S&P 500,SPX,2276.0,2304,2294,BULLISH
2/10/2017,SPX  S&P 500,SPX,2279.0,2316,2307,BULLISH
2/13/2017,SPX  S&P 500,SPX,2282.0,2323,2316,BULLISH
2/14/2017,SPX  S&P 500,SPX,2284.0,2334,2328,BULLISH
2/15/2017,SPX  S&P 500,SPX,2305.0,2342,2337,BULLISH
2/16/2017,SPX  S&P 500,SPX,2312.0,2355,2349,BULLISH
2/17/2017,SPX  S&P 500,SPX,2319.0,2362,2347,BULLISH
2/21/2017,SPX  S&P 500,SPX,2324.0,2369,2351,BULLISH
2/22/2017,SPX  S&P 500,SPX,2332.0,2377,2365,BULLISH
2/23/2017,SPX  S&P 500,SPX,2340.0,2379,2362,BULLISH
2/24/2017,SPX  S&P 500,SPX,2345.0,2380,2363,BULLISH
2/27/2017,SPX  S&P 500,SPX,2351.0,2379,2367,BULLISH
2/28/2017,SPX  S&P 500,SPX,2356.0,2380,2369,BULLISH
3/1/2017,SPX  S&P 500,SPX,2345.0,2380,2363,BULLISH
3/2/2017,SPX  S&P 500,SPX,2360.0,2403,2396,BULLISH
3/3/2017,SPX  S&P 500,SPX,2368.0,2396,2381,BULLISH
3/6/2017,SPX  S&P 500,SPX,2370.0,2396,2383,BULLISH
3/7/2017,SPX  S&P 500,SPX,2353.0,2396,2375,BULLISH
