HMTL_DATE,INDEX,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND
1/3/2017,USD  U.S. Dollar Index,USD,101.75,103.8,102.29,BULLISH
1/4/2017,USD  U.S. Dollar Index,USD,101.8,103.9,103.2,BULLISH
1/5/2017,USD  U.S. Dollar Index,USD,101.9,103.75,102.71,BULLISH
1/6/2017,USD  U.S. Dollar Index,USD,101.2,103.9,101.53,BULLISH
1/9/2017,USD  U.S. Dollar Index,USD,101.5,103.75,101.53,BULLISH
1/10/2017,USD  U.S. Dollar Index,USD,101.25,103.75,101.91,BULLISH
1/11/2017,USD  U.S. Dollar Index,USD,101.5,103.75,102,BULLISH
1/12/2017,USD  U.S. Dollar Index,USD,101.1,103.5,101.75,BULLISH
1/13/2017,USD  U.S. Dollar Index,USD,101.0,103.25,101.38,BULLISH
1/17/2017,USD  U.S. Dollar Index,USD,101.0,103.5,101.19,BULLISH
1/18/2017,USD  U.S. Dollar Index,USD,101.01,103.1,100.32,BULLISH
1/19/2017,USD  U.S. Dollar Index,USD,100.0,103.1,100.92,BULLISH
1/20/2017,USD  U.S. Dollar Index,USD,100.0,103.1,101.14,BULLISH
1/23/2017,USD  U.S. Dollar Index,USD,99.75,102.9,100.69,BULLISH
1/24/2017,USD  U.S. Dollar Index,USD,99.75,102.55,100.13,BULLISH
1/25/2017,USD  U.S. Dollar Index,USD,99.7,102.55,100.34,BULLISH
1/26/2017,USD  U.S. Dollar Index,USD,99.7,102.55,100.02,BULLISH
1/27/2017,USD  U.S. Dollar Index,USD,99.7,102.5,100.38,BULLISH
1/30/2017,USD  U.S. Dollar Index,USD,99.71,102.18,100.53,BULLISH
1/31/2017,USD  U.S. Dollar Index,USD,99.73,102.19,100.41,BULLISH
2/1/2017,USD  U.S. Dollar Index,USD,99.25,101.55,99.48,BULLISH
2/2/2017,USD  U.S. Dollar Index,USD,99.05,101.75,99.61,BULLISH
2/3/2017,USD  U.S. Dollar Index,USD,99.05,101.75,99.8,BULLISH
2/6/2017,USD  U.S. Dollar Index,USD,99.1,101.25,99.84,BULLISH
2/7/2017,USD  U.S. Dollar Index,USD,99.25,101.2,99.86,BULLISH
2/8/2017,USD  U.S. Dollar Index,USD,99.25,101.3,100.25,BULLISH
2/9/2017,USD  U.S. Dollar Index,USD,99.25,101.1,100.26,BULLISH
2/10/2017,USD  U.S. Dollar Index,USD,99.3,101.1,100.65,BULLISH
2/13/2017,USD  U.S. Dollar Index,USD,99.5,101.2,100.79,BULLISH
2/14/2017,USD  U.S. Dollar Index,USD,99.5,101.35,100.95,BULLISH
2/15/2017,USD  U.S. Dollar Index,USD,99.55,101.4,101.23,BULLISH
2/16/2017,USD  U.S. Dollar Index,USD,99.6,101.75,101.16,BULLISH
2/17/2017,USD  U.S. Dollar Index,USD,99.6,101.75,100.43,BULLISH
2/21/2017,USD  U.S. Dollar Index,USD,100.01,101.75,100.95,BULLISH
2/22/2017,USD  U.S. Dollar Index,USD,100.25,101.75,101.36,BULLISH
2/23/2017,USD  U.S. Dollar Index,USD,100.5,101.81,101.19,BULLISH
2/24/2017,USD  U.S. Dollar Index,USD,100.45,101.85,101.05,BULLISH
2/27/2017,USD  U.S. Dollar Index,USD,100.5,101.85,101.09,BULLISH
2/28/2017,USD  U.S. Dollar Index,USD,100.5,101.85,101.13,BULLISH
3/1/2017,USD  U.S. Dollar Index,USD,100.6,101.85,101.13,BULLISH
3/2/2017,USD  U.S. Dollar Index,USD,100.85,102.21,101.78,BULLISH
3/3/2017,USD  U.S. Dollar Index,USD,100.85,102.4,102.2,BULLISH
3/6/2017,USD  U.S. Dollar Index,USD,100.9,102.25,101.55,BULLISH
3/7/2017,USD  U.S. Dollar Index,USD,101.05,102.25,101.64,BULLISH
3/8/2017,USD  U.S. Dollar Index,USD,101.25,102.56,101.81,BULLISH
3/9/2017,USD  U.S. Dollar Index,USD,101.25,102.6,101.95,BULLISH
3/10/2017,USD  U.S. Dollar Index,USD,101.25,102.62,101.72,BULLISH
3/13/2017,USD  U.S. Dollar Index,USD,100.5,102.51,101.11,BULLISH
3/14/2017,USD  U.S. Dollar Index,USD,100.7,102.4,101.19,BULLISH
3/15/2017,USD  U.S. Dollar Index,USD,100.59,102.5,101.57,BULLISH
3/16/2017,USD  U.S. Dollar Index,USD,100.25,102.5,100.57,BULLISH
3/17/2017,USD  U.S. Dollar Index,USD,100.03,102.25,100.18,BULLISH
3/20/2017,USD  U.S. Dollar Index,USD,99.75,102.25,100.11,BULLISH
3/21/2017,USD  U.S. Dollar Index,USD,99.6,102.25,100.23,BULLISH
3/22/2017,USD  U.S. Dollar Index,USD,99.25,102.2,99.61,BULLISH
3/23/2017,USD  U.S. Dollar Index,USD,99.1,101.75,99.47,BULLISH
3/24/2017,USD  U.S. Dollar Index,USD,99.1,101.75,99.56,BULLISH
3/27/2017,USD  U.S. Dollar Index,USD,98.75,101.7,99.44,BULLISH
3/28/2017,USD  U.S. Dollar Index,USD,98.7,101.5,98.97,BULLISH
3/29/2017,USD  U.S. Dollar Index,USD,98.8,101.25,99.55,BULLISH
3/30/2017,USD  U.S. Dollar Index,USD,98.9,101.25,99.84,BULLISH
3/31/2017,USD  U.S. Dollar Index,USD,99.03,100.75,100.29,BULLISH
4/3/2017,USD  U.S. Dollar Index,USD,98.75,100.8,100.22,BULLISH
4/4/2017,USD  U.S. Dollar Index,USD,98.75,100.85,100.41,BULLISH
4/5/2017,USD  U.S. Dollar Index,USD,99.25,100.95,100.43,BULLISH
4/6/2017,USD  U.S. Dollar Index,USD,99.1,101.05,100.44,BULLISH
4/7/2017,USD  U.S. Dollar Index,USD,99.1,101.25,100.57,BULLISH
4/10/2017,USD  U.S. Dollar Index,USD,99.5,101.35,101.12,BULLISH
4/11/2017,USD  U.S. Dollar Index,USD,99.6,101.25,100.95,BULLISH
4/12/2017,USD  U.S. Dollar Index,USD,99.6,101.25,100.62,BULLISH
4/13/2017,USD  U.S. Dollar Index,USD,99.75,101.34,100.71,BULLISH
4/17/2017,USD  U.S. Dollar Index,USD,100.05,101.25,100.46,BULLISH
4/18/2017,USD  U.S. Dollar Index,USD,99.75,101.2,100.19,BULLISH
4/19/2017,USD  U.S. Dollar Index,USD,99.25,101.41,99.4,BULLISH
4/20/2017,USD  U.S. Dollar Index,USD,99.2,101.45,99.64,BULLISH
4/21/2017,USD  U.S. Dollar Index,USD,99.2,101.5,99.68,BULLISH
4/24/2017,USD  U.S. Dollar Index,USD,99.05,101.24,99.88,BULLISH
4/25/2017,USD  U.S. Dollar Index,USD,98.75,101.1,98.97,BULLISH
4/26/2017,USD  U.S. Dollar Index,USD,98.5,101.04,98.65,BULLISH
4/27/2017,USD  U.S. Dollar Index,USD,98.5,100.75,98.92,BULLISH
4/28/2017,USD  U.S. Dollar Index,USD,98.19,100.5,98.96,BULLISH
5/1/2017,USD  U.S. Dollar Index,USD,98.25,100.51,98.9,BULLISH
5/2/2017,USD  U.S. Dollar Index,USD,98.25,100.2,98.93,BULLISH
5/3/2017,USD  U.S. Dollar Index,USD,98.26,100.22,98.83,BULLISH
5/4/2017,USD  U.S. Dollar Index,USD,98.25,100.22,99.08,BULLISH
5/5/2017,USD  U.S. Dollar Index,USD,98.25,100.2,98.65,BULLISH
5/8/2017,USD  U.S. Dollar Index,USD,98.25,100.1,98.53,BULLISH
5/9/2017,USD  U.S. Dollar Index,USD,98.4,100.1,98.94,BULLISH
5/10/2017,USD  U.S. Dollar Index,USD,98.5,100.1,99.44,BULLISH
5/11/2017,USD  U.S. Dollar Index,USD,98.5,100.05,99.56,BULLISH
5/12/2017,USD  U.S. Dollar Index,USD,98.5,100.05,99.5,BULLISH
5/15/2017,USD  U.S. Dollar Index,USD,98.25,100.05,99.13,BULLISH
5/16/2017,USD  U.S. Dollar Index,USD,98.2,100,98.8,BULLISH
