HMTL_DATE,INDEX,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND
1/3/2017,VIX  Volatility Index,VIX,12.19,15.05,13.79,NEUTRAL
1/4/2017,VIX  Volatility Index,VIX,10.89,14.33,12.85,NEUTRAL
1/5/2017,VIX  Volatility Index,VIX,10.7,14.31,11.85,BEARISH
1/6/2017,VIX  Volatility Index,VIX,10.53,14.18,11.67,BEARISH
1/9/2017,VIX  Volatility Index,VIX,10.49,14.28,11.32,BEARISH
1/10/2017,VIX  Volatility Index,VIX,10.61,14.27,11.56,BEARISH
1/11/2017,VIX  Volatility Index,VIX,10.4,13.45,11.49,BEARISH
1/12/2017,VIX  Volatility Index,VIX,10.16,13.39,11.26,BEARISH
1/13/2017,VIX  Volatility Index,VIX,10.13,13.69,11.54,BEARISH
1/17/2017,VIX  Volatility Index,VIX,10.61,13.3,11.23,BEARISH
1/18/2017,VIX  Volatility Index,VIX,10.91,13.16,11.87,BEARISH
1/19/2017,VIX  Volatility Index,VIX,10.77,13.25,12.48,BEARISH
1/20/2017,VIX  Volatility Index,VIX,10.65,13.33,12.78,BEARISH
1/23/2017,VIX  Volatility Index,VIX,10.64,13.09,11.54,BEARISH
1/24/2017,VIX  Volatility Index,VIX,10.67,13.16,11.77,BEARISH
1/25/2017,VIX  Volatility Index,VIX,10.44,12.91,11.07,BEARISH
1/26/2017,VIX  Volatility Index,VIX,10.37,12.87,10.81,BEARISH
1/27/2017,VIX  Volatility Index,VIX,10.11,12.85,10.63,BEARISH
1/30/2017,VIX  Volatility Index,VIX,10.01,12.83,10.58,BEARISH
1/31/2017,VIX  Volatility Index,VIX,10.01,12.89,11.88,BEARISH
2/1/2017,VIX  Volatility Index,VIX,10.0,12.85,11.99,BEARISH
2/2/2017,VIX  Volatility Index,VIX,10.07,12.52,11.81,BEARISH
2/3/2017,VIX  Volatility Index,VIX,10.15,12.82,11.93,BEARISH
2/6/2017,VIX  Volatility Index,VIX,10.07,12.68,10.97,BEARISH
2/7/2017,VIX  Volatility Index,VIX,10.12,12.54,11.37,BEARISH
2/8/2017,VIX  Volatility Index,VIX,10.23,12.53,11.29,BEARISH
2/9/2017,VIX  Volatility Index,VIX,10.37,12.48,11.45,BEARISH
2/10/2017,VIX  Volatility Index,VIX,10.42,12.39,10.88,BEARISH
2/13/2017,VIX  Volatility Index,VIX,10.36,12.13,10.85,BEARISH
2/14/2017,VIX  Volatility Index,VIX,10.45,12.05,11.07,BEARISH
2/15/2017,VIX  Volatility Index,VIX,10.36,11.98,10.74,BEARISH
2/16/2017,VIX  Volatility Index,VIX,10.35,12.4,11.97,BEARISH
2/17/2017,VIX  Volatility Index,VIX,10.37,12.48,11.76,BEARISH
2/21/2017,VIX  Volatility Index,VIX,10.37,12.18,11.49,BEARISH
2/22/2017,VIX  Volatility Index,VIX,10.48,12.24,11.57,BEARISH
2/23/2017,VIX  Volatility Index,VIX,10.4,12.22,11.74,BEARISH
2/24/2017,VIX  Volatility Index,VIX,10.52,12.27,11.71,BEARISH
2/27/2017,VIX  Volatility Index,VIX,10.58,12.23,11.47,BEARISH
2/28/2017,VIX  Volatility Index,VIX,10.58,12.37,12.09,BEARISH
3/1/2017,VIX  Volatility Index,VIX,10.91,12.99,12.92,BEARISH
3/2/2017,VIX  Volatility Index,VIX,10.77,12.95,12.54,BEARISH
3/3/2017,VIX  Volatility Index,VIX,10.88,12.86,11.81,BEARISH
3/6/2017,VIX  Volatility Index,VIX,10.57,12.34,10.96,BEARISH
3/7/2017,VIX  Volatility Index,VIX,10.57,12.31,11.24,BEARISH
3/8/2017,VIX  Volatility Index,VIX,10.52,12.39,11.45,BEARISH
