Date,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND,INDEX,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,VIX_Close,NEEDS_MANUAL_UPDATE
01/03/2017,AAPL,114.45,117.68,115.82,BULLISH,AAPL  Apple Inc.,26.64,26.76,26.4,26.72,12.85,
01/04/2017,AAPL,115.05,117.68,116.15,BULLISH,AAPL  Apple Inc.,26.65,26.8,26.63,26.69,11.85,
01/05/2017,AAPL,114.65,117.52,116.02,BULLISH,AAPL  Apple Inc.,26.67,26.88,26.64,26.83,11.67,
01/06/2017,AAPL,115.0,117.69,116.61,BULLISH,AAPL  Apple Inc.,26.87,27.18,26.79,27.13,11.32,
01/09/2017,AAPL,115.12,118.33,117.91,BULLISH,AAPL  Apple Inc.,27.14,27.48,27.13,27.37,11.56,
01/10/2017,AAPL,115.4,119.32,118.99,BULLISH,AAPL  Apple Inc.,27.32,27.46,27.22,27.4,11.49,
01/11/2017,AAPL,115.68,119.49,119.11,BULLISH,AAPL  Apple Inc.,27.32,27.59,27.28,27.55,11.26,
01/12/2017,AAPL,115.88,120.4,119.75,BULLISH,AAPL  Apple Inc.,27.35,27.45,27.2,27.43,11.54,
01/13/2017,AAPL,115.99,120.63,119.25,BULLISH,AAPL  Apple Inc.,27.4,27.52,27.33,27.39,11.23,
01/17/2017,AAPL,115.34,120.85,119.04,BULLISH,AAPL  Apple Inc.,27.23,27.66,27.2,27.61,11.87,
01/18/2017,AAPL,115.99,121.23,120.0,BULLISH,AAPL  Apple Inc.,27.61,27.72,27.54,27.6,12.48,
01/19/2017,AAPL,116.51,121.02,119.99,BULLISH,AAPL  Apple Inc.,27.47,27.63,27.46,27.56,12.78,
01/20/2017,AAPL,117.06,120.8,119.78,BULLISH,AAPL  Apple Inc.,27.71,27.71,27.54,27.61,11.54,
01/23/2017,AAPL,117.26,120.58,120.0,BULLISH,AAPL  Apple Inc.,27.61,27.79,27.55,27.63,11.77,
01/24/2017,AAPL,117.99,120.68,120.08,BULLISH,AAPL  Apple Inc.,27.5,27.63,27.49,27.6,11.07,
01/25/2017,AAPL,118.9,120.68,119.97,BULLISH,AAPL  Apple Inc.,27.7,28.09,27.67,28.04,10.81,
01/26/2017,AAPL,118.91,122.48,121.88,BULLISH,AAPL  Apple Inc.,27.99,28.17,27.98,28.05,10.63,
01/27/2017,AAPL,118.5,122.37,121.94,BULLISH,AAPL  Apple Inc.,28.1,28.15,27.98,28.06,10.58,
01/30/2017,AAPL,118.59,122.57,121.95,BULLISH,AAPL  Apple Inc.,27.82,27.98,27.76,27.98,11.88,
01/31/2017,AAPL,118.62,122.7,121.63,BULLISH,AAPL  Apple Inc.,27.87,27.93,27.75,27.92,11.99,
02/01/2017,AAPL,119.23,124.77,121.35,BULLISH,AAPL  Apple Inc.,29.22,30.02,29.22,29.62,11.81,
02/02/2017,AAPL,121.98,129.45,128.75,BULLISH,AAPL  Apple Inc.,29.44,29.77,29.4,29.57,11.93,
02/03/2017,AAPL,122.91,129.3,128.53,BULLISH,AAPL  Apple Inc.,29.52,29.72,29.48,29.7,10.97,
02/06/2017,AAPL,123.8,130.95,129.08,BULLISH,AAPL  Apple Inc.,29.71,30.02,29.65,29.97,11.37,
02/07/2017,AAPL,125.0,132.44,130.29,BULLISH,AAPL  Apple Inc.,30.03,30.39,30.01,30.26,11.29,
02/08/2017,AAPL,126.02,134.1,131.53,BULLISH,AAPL  Apple Inc.,30.22,30.42,30.19,30.38,11.45,
02/09/2017,AAPL,126.29,134.8,131.47,BULLISH,AAPL  Apple Inc.,30.42,30.6,30.3,30.6,10.88,
02/10/2017,AAPL,127.81,135.97,132.42,BULLISH,AAPL  Apple Inc.,30.61,30.72,30.51,30.53,10.85,
02/13/2017,AAPL,129.04,135.82,132.12,BULLISH,AAPL  Apple Inc.,30.75,30.92,30.67,30.8,11.07,
02/14/2017,AAPL,130.02,134.36,133.29,BULLISH,AAPL  Apple Inc.,30.84,31.21,30.79,31.2,10.74,
02/15/2017,AAPL,131.08,135.85,135.02,BULLISH,AAPL  Apple Inc.,31.31,31.49,31.1,31.31,11.97,
02/16/2017,AAPL,132.0,136.63,135.51,BULLISH,AAPL  Apple Inc.,31.35,31.4,31.16,31.27,11.76,
02/17/2017,AAPL,129.98,136.67,135.35,BULLISH,AAPL  Apple Inc.,31.22,31.38,31.22,31.36,11.49,
02/21/2017,AAPL,130.01,137.29,135.72,BULLISH,AAPL  Apple Inc.,31.48,31.6,31.42,31.59,11.57,
02/22/2017,AAPL,130.75,137.81,136.7,BULLISH,AAPL  Apple Inc.,31.52,31.68,31.45,31.68,11.74,
02/23/2017,AAPL,131.52,138.29,137.11,BULLISH,AAPL  Apple Inc.,31.74,31.77,31.49,31.55,11.71,
02/24/2017,AAPL,132.09,138.43,136.53,BULLISH,AAPL  Apple Inc.,31.4,31.58,31.26,31.58,11.47,
02/27/2017,AAPL,133.1,138.43,136.66,BULLISH,AAPL  Apple Inc.,31.69,31.76,31.49,31.64,12.09,
02/28/2017,AAPL,133.73,138.02,136.93,BULLISH,AAPL  Apple Inc.,31.67,31.76,31.59,31.65,12.92,
03/01/2017,AAPL,134.11,138.03,136.99,BULLISH,AAPL  Apple Inc.,31.86,32.38,31.79,32.3,12.54,
03/02/2017,AAPL,134.5,140.22,139.79,BULLISH,AAPL  Apple Inc.,32.35,32.41,32.06,32.11,11.81,
03/03/2017,AAPL,134.8,140.2,138.96,BULLISH,AAPL  Apple Inc.,32.07,32.31,32.02,32.3,10.96,
03/06/2017,AAPL,135.22,140.51,139.78,BULLISH,AAPL  Apple Inc.,32.2,32.29,32.02,32.2,11.24,
03/07/2017,AAPL,135.24,140.61,139.34,BULLISH,AAPL  Apple Inc.,32.13,32.34,32.07,32.24,11.45,
