Date,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND,INDEX,BTC_Open,BTC_High,BTC_Low,BTC_Close,VIX_Close,NEEDS_MANUAL_UPDATE
01/02/2017,,,,,,,998.62,1031.39,996.7,1021.75,,YES
01/03/2017,,,,,,,1021.6,1044.08,1021.6,1043.84,12.85,YES
01/04/2017,,,,,,,1044.4,1159.42,1044.4,1154.73,11.85,YES
01/05/2017,,,,,,,1156.73,1191.1,910.42,1013.38,11.67,YES
01/06/2017,,,,,,,1014.24,1046.81,883.94,902.2,11.32,YES
01/07/2017,,,,,,,903.49,908.59,823.56,908.59,,YES
01/08/2017,,,,,,,908.17,942.72,887.25,911.2,,YES
01/09/2017,,,,,,,913.24,913.69,879.81,902.83,11.56,YES
01/10/2017,,,,,,,902.44,914.87,901.06,907.68,11.49,YES
01/11/2017,,,,,,,908.11,919.45,762.77,777.76,11.26,YES
01/12/2017,,,,,,,775.18,826.25,755.76,804.83,11.54,YES
01/13/2017,,,,,,,803.74,829.0,780.0,823.98,11.23,YES
01/14/2017,,,,,,,825.14,835.09,812.46,818.41,,YES
01/15/2017,,,,,,,818.14,823.31,812.87,821.8,,YES
01/16/2017,,,,,,,821.78,834.53,820.27,831.53,,YES
01/17/2017,,,,,,,830.95,910.56,830.8,907.94,11.87,YES
01/18/2017,,,,,,,909.37,917.5,858.3,886.62,12.48,YES
01/19/2017,,,,,,,888.34,904.61,884.34,899.07,12.78,YES
01/20/2017,,,,,,,898.17,899.4,887.01,895.03,11.54,YES
01/21/2017,,,,,,,895.55,927.37,895.53,921.79,,YES
01/22/2017,,,,,,,922.21,937.53,897.56,924.67,,YES
01/23/2017,,,,,,,925.5,928.27,916.74,921.01,11.77,YES
01/24/2017,,,,,,,910.68,924.15,892.29,892.69,11.07,YES
01/25/2017,,,,,,,891.92,903.25,891.69,901.54,10.81,YES
01/26/2017,,,,,,,902.4,919.33,902.22,917.59,10.63,YES
01/27/2017,,,,,,,918.36,923.22,915.85,919.75,10.58,YES
01/28/2017,,,,,,,919.81,923.91,919.81,921.59,,YES
01/29/2017,,,,,,,922.07,923.42,919.15,919.5,,YES
01/30/2017,,,,,,,920.15,923.05,919.47,920.38,11.88,YES
01/31/2017,,,,,,,920.96,972.02,920.96,970.4,11.99,YES
02/01/2017,,,,,,,970.94,989.11,970.74,989.02,11.81,YES
02/02/2017,,,,,,,990.0,1013.52,983.22,1011.8,11.93,YES
02/03/2017,,,,,,,1011.46,1033.87,1008.79,1029.91,10.97,YES
02/04/2017,,,,,,,1031.33,1045.9,1015.16,1042.9,,YES
02/05/2017,,,,,,,1043.52,1043.63,1022.37,1027.34,,YES
02/06/2017,,,,,,,1028.4,1044.64,1028.16,1038.15,11.37,YES
02/07/2017,,,,,,,1040.14,1061.93,1040.14,1061.35,11.29,YES
02/08/2017,,,,,,,1062.32,1078.97,1037.49,1063.07,11.45,YES
02/09/2017,,,,,,,1064.7,1088.99,953.34,994.38,10.88,YES
02/10/2017,,,,,,,995.63,998.91,946.69,988.67,10.85,YES
02/11/2017,,,,,,,988.9,1009.29,982.83,1004.45,,YES
02/12/2017,,,,,,,1003.52,1004.76,996.92,999.18,,YES
02/13/2017,,,,,,,998.89,1002.1,976.0,990.64,11.07,YES
02/14/2017,,,,,,,991.73,1011.51,986.47,1004.55,10.74,YES
02/15/2017,,,,,,,1006.21,1008.84,1001.58,1007.48,11.97,YES
02/16/2017,,,,,,,1007.65,1033.37,1007.65,1027.44,11.76,YES
02/17/2017,,,,,,,1026.12,1053.17,1025.64,1046.21,11.49,YES
02/18/2017,,,,,,,1049.21,1061.1,1046.96,1054.42,,YES
02/19/2017,,,,,,,1054.76,1056.81,1043.46,1047.87,,YES
02/20/2017,,,,,,,1048.69,1080.49,1041.69,1079.98,,YES
02/21/2017,,,,,,,1079.28,1117.25,1076.93,1115.3,11.57,YES
02/22/2017,,,,,,,1114.8,1125.39,1100.55,1117.44,11.74,YES
02/23/2017,,,,,,,1117.27,1176.62,1116.96,1166.72,11.71,YES
02/24/2017,,,,,,,1172.71,1200.39,1131.96,1173.68,11.47,YES
02/25/2017,,,,,,,1170.41,1174.85,1124.59,1143.84,,YES
02/26/2017,,,,,,,1144.27,1167.47,1130.2,1165.2,,YES
02/27/2017,,,,,,,1163.78,1181.98,1163.38,1179.97,12.09,YES
02/28/2017,,,,,,,1180.72,1193.25,1171.82,1179.97,12.92,YES
03/01/2017,,,,,,,1180.04,1222.5,1179.69,1222.5,12.54,YES
03/02/2017,,,,,,,1224.68,1262.13,1215.62,1251.01,11.81,YES
03/03/2017,,,,,,,1250.71,1280.31,1250.71,1274.99,10.96,YES
03/04/2017,,,,,,,1277.43,1279.4,1230.51,1255.15,,YES
03/05/2017,,,,,,,1254.29,1267.29,1238.06,1267.12,,YES
03/06/2017,,,,,,,1267.47,1276.0,1264.6,1272.83,11.24,YES
03/07/2017,,,,,,,1273.21,1275.55,1204.8,1223.54,11.45,YES
03/08/2017,,,,,,,1223.23,1232.16,1148.08,1150.0,11.86,YES
03/09/2017,,,,,,,1150.35,1197.46,1141.23,1188.49,12.3,YES
03/10/2017,,,,,,,1189.36,1270.47,1077.25,1116.72,11.66,YES
03/11/2017,,,,,,,1116.32,1193.83,1116.32,1175.83,,YES
03/12/2017,,,,,,,1176.62,1226.98,1175.36,1221.38,,YES
03/13/2017,,,,,,,1221.78,1237.37,1217.03,1231.92,11.35,YES
03/14/2017,,,,,,,1232.16,1244.81,1220.72,1240.0,12.3,YES
03/15/2017,,,,,,,1240.16,1251.61,1239.75,1249.61,11.63,YES
03/16/2017,,,,,,,1251.33,1257.98,1152.44,1187.81,11.21,YES
03/17/2017,,,,,,,1180.16,1180.16,1099.57,1100.23,11.28,YES
03/18/2017,,,,,,,1099.69,1114.07,957.66,973.82,,YES
03/19/2017,,,,,,,976.73,1069.91,976.73,1036.74,,YES
03/20/2017,,,,,,,1037.24,1063.03,1036.68,1054.23,11.34,YES
03/21/2017,,,,,,,1055.36,1122.43,1055.36,1120.54,12.47,YES
03/22/2017,,,,,,,1120.65,1120.65,1014.21,1049.14,12.81,YES
03/23/2017,,,,,,,1050.05,1058.01,1028.93,1038.59,13.12,YES
03/24/2017,,,,,,,1038.45,1040.47,934.36,937.52,12.96,YES
03/25/2017,,,,,,,936.54,975.76,903.71,972.78,,YES
03/26/2017,,,,,,,974.02,1007.96,954.19,966.72,,YES
03/27/2017,,,,,,,972.05,1046.4,971.98,1045.77,12.5,YES
03/28/2017,,,,,,,1044.58,1064.65,1027.73,1047.15,11.53,YES
03/29/2017,,,,,,,1046.08,1055.13,1015.88,1039.97,11.42,YES
03/30/2017,,,,,,,1042.21,1049.29,1020.04,1026.43,11.54,YES
03/31/2017,,,,,,,1026.64,1074.92,1026.64,1071.79,12.37,YES
04/01/2017,,,,,,,1071.71,1091.72,1061.09,1080.5,,YES
04/02/2017,,,,,,,1080.61,1107.59,1075.45,1102.17,,YES
04/03/2017,,,,,,,1102.95,1151.74,1102.95,1143.81,12.38,YES
04/04/2017,,,,,,,1145.52,1156.44,1120.52,1133.25,11.79,YES
04/05/2017,,,,,,,1134.14,1135.09,1113.63,1124.78,12.89,YES
04/06/2017,,,,,,,1125.81,1188.37,1125.81,1182.68,12.39,YES
04/07/2017,,,,,,,1178.94,1186.58,1163.39,1176.9,12.87,YES
04/08/2017,,,,,,,1172.65,1184.98,1162.58,1175.95,,YES
04/09/2017,,,,,,,1176.57,1197.21,1171.86,1187.87,,YES
04/10/2017,,,,,,,1187.3,1190.34,1179.04,1187.13,14.05,YES
04/11/2017,,,,,,,1187.46,1208.07,1187.46,1205.01,15.07,YES
04/12/2017,,,,,,,1204.81,1207.14,1196.76,1200.37,15.77,YES
04/13/2017,,,,,,,1201.02,1205.89,1156.44,1169.28,15.96,YES
