Date,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND,INDEX,IXIC_Open,IXIC_High,IXIC_Low,IXIC_Close,VIX_Close,NEEDS_MANUAL_UPDATE
01/03/2017,,,,,,,5425.62,5452.57,5397.99,5429.08,12.85,YES
01/04/2017,,,,,,,5440.91,5482.35,5440.24,5477.0,11.85,YES
01/05/2017,,,,,,,5474.39,5495.85,5464.36,5487.94,11.67,YES
01/06/2017,,,,,,,5499.08,5536.52,5482.81,5521.06,11.32,YES
01/09/2017,,,,,,,5527.58,5541.08,5517.14,5531.82,11.56,YES
01/10/2017,,,,,,,5536.54,5564.25,5528.11,5551.82,11.49,YES
01/11/2017,,,,,,,5550.72,5564.08,5524.03,5563.65,11.26,YES
01/12/2017,,,,,,,5542.56,5550.67,5496.82,5547.49,11.54,YES
01/13/2017,,,,,,,5557.57,5584.26,5557.2,5574.12,11.23,YES
01/17/2017,,,,,,,5555.16,5557.05,5527.22,5538.73,11.87,YES
01/18/2017,,,,,,,5546.94,5555.98,5534.77,5555.65,12.48,YES
01/19/2017,,,,,,,5560.61,5571.53,5528.37,5540.08,12.78,YES
01/20/2017,,,,,,,5556.87,5574.35,5542.23,5555.33,11.54,YES
01/23/2017,,,,,,,5546.64,5564.14,5522.69,5552.94,11.77,YES
01/24/2017,,,,,,,5568.27,5606.53,5558.49,5600.96,11.07,YES
01/25/2017,,,,,,,5635.86,5658.59,5634.33,5656.34,10.81,YES
01/26/2017,,,,,,,5666.28,5669.61,5647.65,5655.18,10.63,YES
01/27/2017,,,,,,,5664.88,5667.45,5643.9,5660.78,10.58,YES
01/30/2017,,,,,,,5635.86,5636.09,5578.76,5613.71,11.88,YES
01/31/2017,,,,,,,5592.87,5615.15,5576.09,5614.79,11.99,YES
02/01/2017,,,,,,,5654.51,5662.11,5621.03,5642.65,11.81,YES
02/02/2017,,,,,,,5627.15,5656.01,5616.4,5636.2,11.93,YES
02/03/2017,,,,,,,5650.73,5666.84,5647.58,5666.77,10.97,YES
02/06/2017,,,,,,,5656.95,5668.2,5650.26,5663.55,11.37,YES
02/07/2017,,,,,,,5674.86,5689.6,5664.82,5674.22,11.29,YES
02/08/2017,,,,,,,5662.95,5686.96,5649.39,5682.45,11.45,YES
02/09/2017,,,,,,,5688.02,5722.71,5685.15,5715.18,10.88,YES
02/10/2017,,,,,,,5726.17,5743.43,5717.42,5734.13,10.85,YES
02/13/2017,,,,,,,5753.19,5770.99,5751.92,5763.96,11.07,YES
02/14/2017,,,,,,,5756.51,5783.09,5748.74,5782.57,10.74,YES
02/15/2017,,,,,,,5777.9,5821.95,5776.7,5819.44,11.97,YES
02/16/2017,,,,,,,5823.01,5835.15,5796.71,5814.9,11.76,YES
02/17/2017,,,,,,,5807.31,5838.58,5800.8,5838.58,11.49,YES
02/21/2017,,,,,,,5850.2,5867.89,5847.5,5865.95,11.57,YES
02/22/2017,,,,,,,5857.56,5864.42,5848.28,5860.63,11.74,YES
02/23/2017,,,,,,,5866.82,5866.96,5809.55,5835.51,11.71,YES
02/24/2017,,,,,,,5802.33,5845.31,5800.55,5845.31,11.47,YES
02/27/2017,,,,,,,5835.04,5861.9,5827.0,5861.9,12.09,YES
02/28/2017,,,,,,,5852.79,5855.07,5817.22,5825.44,12.92,YES
03/01/2017,,,,,,,5874.86,5911.79,5865.79,5904.03,12.54,YES
03/02/2017,,,,,,,5897.01,5897.01,5856.3,5861.22,11.81,YES
03/03/2017,,,,,,,5854.27,5870.75,5841.47,5870.75,10.96,YES
