Date,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND,INDEX,RUT_Open,RUT_High,RUT_Low,RUT_Close,VIX_Close,NEEDS_MANUAL_UPDATE
01/03/2017,,,,,,,1357.99,1375.09,1355.39,1365.49,12.85,YES
01/04/2017,,,,,,,1366.7,1388.6,1366.7,1387.95,11.85,YES
01/05/2017,,,,,,,1387.71,1387.71,1366.57,1371.94,11.67,YES
01/06/2017,,,,,,,1372.49,1375.06,1366.82,1367.28,11.32,YES
01/09/2017,,,,,,,1367.13,1367.13,1356.54,1357.49,11.56,YES
01/10/2017,,,,,,,1357.74,1371.5,1357.74,1370.9,11.49,YES
01/11/2017,,,,,,,1370.89,1375.54,1365.14,1373.3,11.26,YES
01/12/2017,,,,,,,1372.84,1372.84,1346.81,1361.07,11.54,YES
01/13/2017,,,,,,,1361.38,1376.17,1361.38,1372.05,11.23,YES
01/17/2017,,,,,,,1371.51,1371.51,1351.5,1352.32,11.87,YES
01/18/2017,,,,,,,1352.74,1358.84,1350.81,1358.56,12.48,YES
01/19/2017,,,,,,,1358.83,1360.76,1342.14,1345.74,12.78,YES
01/20/2017,,,,,,,1345.96,1355.21,1345.96,1351.85,11.54,YES
01/23/2017,,,,,,,1351.41,1353.13,1341.46,1347.84,11.77,YES
01/24/2017,,,,,,,1348.12,1370.97,1348.12,1369.21,11.07,YES
01/25/2017,,,,,,,1371.11,1383.36,1371.11,1382.44,10.81,YES
01/26/2017,,,,,,,1382.43,1384.13,1374.62,1375.6,10.63,YES
01/27/2017,,,,,,,1375.68,1375.93,1366.36,1370.7,10.58,YES
01/30/2017,,,,,,,1369.49,1369.49,1342.66,1352.33,11.88,YES
01/31/2017,,,,,,,1351.72,1363.6,1345.65,1361.82,11.99,YES
02/01/2017,,,,,,,1364.07,1374.19,1357.49,1361.23,11.81,YES
02/02/2017,,,,,,,1360.54,1364.1,1354.86,1357.43,11.93,YES
02/03/2017,,,,,,,1358.05,1377.93,1358.05,1377.84,10.97,YES
02/06/2017,,,,,,,1377.33,1377.33,1364.63,1366.66,11.37,YES
02/07/2017,,,,,,,1366.82,1371.88,1357.61,1361.06,11.29,YES
02/08/2017,,,,,,,1360.47,1360.47,1349.43,1358.74,11.45,YES
02/09/2017,,,,,,,1359.3,1379.73,1359.3,1378.53,10.88,YES
02/10/2017,,,,,,,1380.07,1391.18,1380.07,1388.84,10.85,YES
