Date,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND,INDEX,GSPC_Open,GSPC_High,GSPC_Low,GSPC_Close,VIX_Close,NEEDS_MANUAL_UPDATE
01/03/2017,SPX,2235.0,2277.0,2238.0,BULLISH,SPX  S&P 500,2251.57,2263.88,2245.13,2257.83,12.85,
01/04/2017,SPX,2237.0,2279.0,2257.0,BULLISH,SPX  S&P 500,2261.6,2272.82,2261.6,2270.75,11.85,
01/05/2017,SPX,2240.0,2279.0,2270.0,BULLISH,SPX  S&P 500,2268.18,2271.5,2260.45,2269.0,11.67,
01/06/2017,SPX,2241.0,2279.0,2269.0,BULLISH,SPX  S&P 500,2271.14,2282.1,2264.06,2276.98,11.32,
01/09/2017,SPX,2242.0,2285.0,2276.0,BULLISH,SPX  S&P 500,2273.59,2275.49,2268.9,2268.9,11.56,
01/10/2017,SPX,2238.0,2286.0,2268.0,BULLISH,SPX  S&P 500,2269.72,2279.27,2265.27,2268.9,11.49,
01/11/2017,SPX,2247.0,2286.0,2268.0,BULLISH,SPX  S&P 500,2268.6,2275.32,2260.83,2275.32,11.26,
01/12/2017,SPX,2249.0,2288.0,2275.0,BULLISH,SPX  S&P 500,2271.14,2271.78,2254.25,2270.44,11.54,
01/13/2017,SPX,2243.0,2288.0,2270.0,BULLISH,SPX  S&P 500,2272.74,2278.68,2271.51,2274.64,11.23,
01/17/2017,SPX,2258.0,2282.0,2274.0,BULLISH,SPX  S&P 500,2269.14,2272.08,2262.81,2267.89,11.87,
01/18/2017,SPX,2253.0,2280.0,2267.0,BULLISH,SPX  S&P 500,2269.14,2272.01,2263.35,2271.89,12.48,
01/19/2017,SPX,2255.0,2280.0,2271.0,BULLISH,SPX  S&P 500,2271.9,2274.33,2258.41,2263.69,12.78,
01/20/2017,SPX,2256.0,2280.0,2263.0,BULLISH,SPX  S&P 500,2269.96,2276.96,2265.01,2271.31,11.54,
01/23/2017,SPX,2257.0,2280.0,2271.0,BULLISH,SPX  S&P 500,2267.78,2271.78,2257.02,2265.2,11.77,
01/24/2017,SPX,2257.0,2279.0,2265.0,BULLISH,SPX  S&P 500,2267.88,2284.63,2266.68,2280.07,11.07,
01/25/2017,SPX,2259.0,2287.0,2280.0,BULLISH,SPX  S&P 500,2288.88,2299.55,2288.88,2298.37,10.81,
01/26/2017,SPX,2260.0,2303.0,2298.0,BULLISH,SPX  S&P 500,2298.63,2300.99,2294.08,2296.68,10.63,
01/27/2017,SPX,2265.0,2303.0,2296.0,BULLISH,SPX  S&P 500,2299.02,2299.02,2291.62,2294.69,10.58,
01/30/2017,SPX,2266.0,2306.0,2294.0,BULLISH,SPX  S&P 500,2286.01,2286.01,2268.04,2280.9,11.88,
01/31/2017,SPX,2267.0,2306.0,2280.0,BULLISH,SPX  S&P 500,2274.02,2279.09,2267.21,2278.87,11.99,
02/01/2017,SPX,2268.0,2306.0,2278.0,BULLISH,SPX  S&P 500,2285.59,2289.14,2272.44,2279.55,11.81,
02/02/2017,SPX,2269.0,2305.0,2279.0,BULLISH,SPX  S&P 500,2276.69,2283.97,2271.65,2280.85,11.93,
02/03/2017,SPX,2264.0,2306.0,2280.0,BULLISH,SPX  S&P 500,2288.54,2298.31,2287.88,2297.42,10.97,
02/06/2017,SPX,2270.0,2306.0,2297.0,BULLISH,SPX  S&P 500,2294.28,2296.18,2288.57,2292.56,11.37,
02/07/2017,SPX,2273.0,2306.0,2292.0,BULLISH,SPX  S&P 500,2295.87,2299.4,2290.16,2293.08,11.29,
02/08/2017,SPX,2275.0,2304.0,2293.0,BULLISH,SPX  S&P 500,2289.55,2295.91,2285.38,2294.67,11.45,
02/09/2017,SPX,2276.0,2304.0,2294.0,BULLISH,SPX  S&P 500,2296.7,2311.08,2296.61,2307.87,10.88,
02/10/2017,SPX,2279.0,2316.0,2307.0,BULLISH,SPX  S&P 500,2312.27,2319.23,2311.1,2316.1,10.85,
