Ticker,Close,Bottom End,Top End,Down side %,Up side %,Lower Band,Upper band,ATH,Trade_lvl,Trend_Lvl,Trade,Trade_Chg,Trend,Trend_Chg,1D %,1W %,1M %,3M %,RVOL_1M,RVOL_3M,Machine,Vlm 1D %,Vlm 1W %,Vlm 1M %,Vlm 3M %,RSI,Level,Beta_1Y,SS_Score,SS_Status,SS_Action,Warn_Lvl,Warn_Flags
^TNX,4.390000343322754,4.34,4.43,-1.17,0.83,HL,Brownian,15.84000015258789,4.25,4.15,Bullish,,Bullish,,0.6,-1.26,1.69,4.569999999999999,13.62506513745897,16.566902877959468,Systematic Buying,,,,,55.58815495630924,In-Range,,52,🟡 BULL WATCH,"Early stress — reduce aggression, stop adding",1,Vol Spike
^GSPC,7423.6201171875,7128.2,7488.85,-3.98,0.88,HL,HATH,7423.52978515625,7109.14,6941.81,Bullish,,Bullish,,0.33,3.1,8.9,6.59,10.491150556540486,14.772386620029039,Systematic Buying,-74.71,-74.29,-69.48,-76.27000000000001,75.51607401098406,Overbought,,57,🟠 BULL CAUTION,"Multiple warnings — stop buying, tighten stops",2,"Vol Spike, RSI Extreme"
^IXIC,26346.970703125,24541.77,26719.72,-6.85,1.41,HL,HATH,26347.12890625,24404.39,23102.47,Bullish,,Bullish,,0.38,5.1,15.040000000000001,13.38,15.08831203282858,19.70166130214698,Systematic Buying,-32.25,-17.330000000000002,-25.419999999999998,-20.62,80.63913211323239,Overbought,,57,🟠 BULL CAUTION,"Multiple warnings — stop buying, tighten stops",2,"Vol Spike, RSI Extreme"
^RUT,2881.16064453125,2768.63,2909.24,-3.91,0.97,HL,HATH,2886.77001953125,2792.96,2679.77,Bullish,,Bullish,,0.7000000000000001,3.05,9.53,7.140000000000001,16.969240407278097,20.76182072940617,Systematic Buying,-100.0,-100.0,-100.0,-100.0,67.69734675814298,In-Range,,62,🟡 BULL WATCH,Strong but warning active — reduce aggression,1,Vol Spike
^VIX,17.959999084472656,16.69,18.13,-7.08,0.95,Brownian,LH,82.69000244140625,18.87,17.79,Bearish,,Bullish,⚠,4.4799999999999995,-1.7999999999999998,-6.6000000000000005,3.46,68.99395277848637,126.67544992185037,Systematic Buying,,,,,44.6870038784169,In-Range,,-7,🔴 BULL DANGER,Breakdown likely — prepare to exit,3,"Trend Flip, Vol Spike, Big Move"
^NYICDX,97.89240264892578,97.77,98.41,-0.12,0.53,Brownian,Brownian,164.72000122070312,98.05,96.8,Bearish,,Bullish,,0.05,-0.59,-0.77,1.11,4.796398648986546,5.942697334788573,Systematic Buying,,,,,41.3571401701155,In-Range,,27,🟡 BULL WATCH,"Early stress — reduce aggression, stop adding",1,Vol Spike
AAAU,46.60499954223633,44.15,47.46,-5.26,1.85,Brownian,Brownian,53.209999084472656,47.47,49.65,Bearish,,Bearish,,0.01,4.61,-0.73,-7.03,22.692805908481244,30.066651765487556,Systematic Buying,-70.03,-77.33,-72.0,-85.24000000000001,52.20076130497565,In-Range,,-17,🟡 RECOVERY LIKELY,Multiple recovery signals — stop adding shorts,1,Vol Spike
AAPL,292.3102111816406,271.7,297.97,-7.05,1.94,HL,HATH,293.32000732421875,273.05,273.68,Bullish,,Bullish,,-0.33999999999999997,5.59,12.22,6.4399999999999995,25.886916386468272,25.69296401741145,Systematic Selling,-68.37,-64.33,-46.800000000000004,-62.7,71.38001247312378,Overbought,,52,🟠 BULL CAUTION,"Multiple warnings — stop buying, tighten stops",2,"Vol Spike, RSI Extreme"
IBIT,46.32500076293945,43.86,46.79,-5.33,1.0,HL,Brownian,71.29000091552734,43.25,38.97,Bullish,,Bullish,,1.9300000000000002,2.04,11.469999999999999,15.49,29.076949633687523,42.61251474512182,Systematic Buying,-35.96,-75.11,-55.00000000000001,-79.80000000000001,65.69923862368418,In-Range,,47,🟡 BULL WATCH,"Early stress — reduce aggression, stop adding",1,Vol Spike
QQQ,714.22998046875,655.9,725.58,-8.17,1.59,HL,HATH,714.22998046875,646.79,610.7,Bullish,,Bullish,,0.42,6.15,16.88,16.41,15.224133472877853,19.27493675986446,Systematic Buying,-59.64,-48.41,-47.65,-68.63,83.40007283083445,Overbought,,57,🟠 BULL CAUTION,"Multiple warnings — stop buying, tighten stops",2,"Vol Spike, RSI Extreme"
GLD,433.9200134277344,411.11,441.86,-5.26,1.83,Brownian,Brownian,495.8999938964844,442.09,462.4,Bearish,,Bearish,,0.03,4.63,-0.73,-7.090000000000001,22.818658155115063,30.24609214960806,Systematic Buying,-35.52,-52.459999999999994,-44.07,-71.91,52.162661570138376,In-Range,,-17,🟡 RECOVERY LIKELY,Multiple recovery signals — stop adding shorts,1,Vol Spike
SLV,77.37000274658203,61.91,78.37,-19.99,1.3,Brownian,Brownian,105.5999984741211,72.15,73.41,Bullish,⚠,Bullish,⚠,5.970000000000001,17.330000000000002,12.0,1.7500000000000002,51.076422740830246,62.130378731264116,Systematic Buying,26.790000000000003,14.979999999999999,15.9,-72.65,65.15715959724656,In-Range,,42,🔴 BULL DANGER,Breakdown likely — prepare to exit,3,"Trade Flip, Trend Flip, Vol Spike, Big Move"
NVDA,221.9149932861328,189.03,226.39,-14.82,2.01,Brownian,HATH,221.9149932861328,202.06,188.53,Bullish,,Bullish,,3.1199999999999997,11.81,17.65,16.78,39.3231962078364,36.32611714864081,Systematic Selling,-34.37,-28.749999999999996,-44.330000000000005,-54.510000000000005,69.81141226315583,In-Range,,48,🟠 BULL CAUTION,"Multiple warnings — stop buying, tighten stops",2,"Vol Spike, Big Move"
